,Job Title,Location,Date,Link,Job Attributes,Job Description
1,Seeking iOS/Android Developer,N/A,May 25,https://boston.craigslist.org/gbs/sof/d/cambridge-seeking-ios-android-developer/6897232058.html,"
compensation: $15-$35/hr based on experience/proficiency

employment type: part-time

","

QR Code Link to This Post


New Movie Review App Seeking Head Developer

We’re looking for a developer proficient in iOS and Android	(Xcode/java) to work hourly on new features; as well as over see ongoing code for both platforms for smaller/simpler features. 
Our app is simple and straightforward. We have a wonderful and talented developer for our backend/PHP. We’re great people to work with and have big plans for the app, so ideally we're looking for someone long term. 

(Open to all applicants but especially interested in POC/Women and individuals in the US time zones)

Looking forward to hearing from you. Please email any resume/samples of your work. 

https://itunes.apple.com/us/app/qurator-app/id1450485928?mt=8 "
2,Senior Enterprise Analyst,Boston,May 23,https://boston.craigslist.org/gbs/sof/d/boston-senior-enterprise-analyst/6895801656.html,"
compensation: Competitive annual salary with full benefits

employment type: full-time

","

QR Code Link to This Post


APPLY HERE: https://jobs.lever.co/frameworkhomeownership/d3e39f45-97b0-4145-9ef8-e6bcb1c2b3a1?lever-origin=applied&lever-source%5B%5D=Craigslist

About the Company

Framework is a startup social enterprise built on a simple idea: every homebuyer should have access to unbiased information about the mortgage process and feel knowledgeable about the responsibilities of owning a home throughout their homeownership journey. We are proudly pro-homeownership and believe it’s a uniquely accessible and powerful way for people to plant and grow seeds of generational wealth. We make it easier for people to do this by providing the tools we believe will lead people into homes that improve their quality of life, giving them the space to grow into their future, and gain value over time. We’re dedicated to helping our customers make decisions with confidence, build wealth in their homes, and protect their investment for generations to come.

As we leverage the power of technology to strengthen communities one homeowner at a time, the individual contributions of our tight-knit team play a vital, daily role in shaping our products and services. Creative thinking, collaboration, and problem solving are at the core of the Framework culture, and we’re seeking team members with drive and creativity to add to the mix.

About The Team

The Information Systems (IS) team’s mission is to apply information and technology in collaboration with other business units and external stakeholders to improve operating efficiencies and promote innovation across the company. The team plays a key role in leading collaboration with others while creating digital strategies, embracing organizational changes, adopting agile practices, and experimenting with emerging technologies. They do all this while being compliant and secure by enforcing internal policies which are aligned to organizational strategy and vision.

About The Role

The Senior Enterprise Analyst will be a member of the Information Systems team and will be responsible to execute and support IS projects in collaboration with the Business Insights, Information Systems, Marketing, Customer Success, Engineering, and Product teams with direction from the Director of Information Systems. We are looking for a creative problem solver who is passionate about leveraging technology in support of greater operational efficiency for the entire organization. The ideal candidate is analytical, empathetic, customer centric, and thrives in a fast-paced startup environment. This position reports to Director of Information Systems and is located in Boston, MA.

What You'll Do

- Work closely with Business Insights team in providing services related to Data Modeling/Analytics, Business Intelligence, Data Warehousing and Reporting
- Develop workflow diagrams and functional requirements to communicate with stakeholders
- Implement and proactively manage the ETL design and development based on MS SQL Server, SSIS, Azure Data Service (Data Factory, Data Lake Storage, Data Warehouse etc.)
- Communicate effectively to various stakeholders with status updates
- Identify and cleanse data from external data sources (SalesForce, Marketing Cloud, Google Analytics, Google Adwords, Zendesk, Paypal, Quickbooks etc.)
- Pursue training and professional development opportunities, strive to continuously build knowledge and skills, stay on top of new trends in Data Modeling, Analytics, ETL and related technologies and share expertise to the team
- Work closely with marketing team to support/enhance MarTech stack including but not limited to all the integration
- Prepare and update documentation related to work done

What You'll Bring

- Experience developing data warehousing solutions using SSIS, SQL Server, Azure Data Service
- Strong ETL experience coupled with Strong SQL knowledge
- Experience with creating and using SQL procedures, functions and queries
- Experience with data cleansing, data analysis and profiling
- Experience creating KPI dashboards and reports using PowerBI from data warehouse
- Experience with MarTech stack such as Google Analytics, AdWords, Marketing Cloud etc. is a plus
- Strong communication skills
- Strong passion for data, analytics, modeling, and relevant technologies
- Enthusiasm for continuous learning in the always changing information systems landscape
- Experience working independently and within a team with diverse internal stakeholder groups
- Ability to work in a fast-paced agile software development environment, handling multiple projects, requests and tasks effectively

Preferred Qualifications/Experience

- BS or equivalent in Computer Science, Information Systems, Data Science or equivalent technical degree
- 5+ years’ experience in relational and data warehouse database design, optimization and performance; preferably with SSIS, SQL Server 
- Experience developing ETL specifications and mappings to support data integration from external datasources
- Experience with Azure SQL products and services will be a plus
- Strong knowledge of referential integrity, triggers, stored procedures and functions
- Experience with reporting and data visualization application (PowerBI)
- Understanding of project management and software development lifecycle
- Experience in maintaining high level of customer satisfaction
- Possess excellent problem-solving, analytical and time management skills
- Self-starter, highly motivated, able to shift directions quickly when priorities change
- Excellent verbal and written communication skills, with ability to present complex ideas in a clear, concise manner 

Work Environment

This job is in a professional office environment. Routine use of standard office equipment such as computers, phones, photocopiers, and filing cabinets is required. Occasional travel is required, including overnight travel for up to four days at a time.

Physical Demands

This position requires the employee to work in an office environment. It requires the ability to speak and hear in person, over the phone, and in settings where there are groups of people. It requires the ability to travel to a variety of meeting locations including via airplane.

The position description is a guide to the critical duties and essential functions of the job, not an all-inclusive list of responsibilities, qualifications, physical demands and work environment conditions. Position descriptions are reviewed and revised to meet Framework’s changing needs, at the sole discretion of management.
"
3,Cloud Engineer,Boston,May 23,https://boston.craigslist.org/gbs/sof/d/boston-cloud-engineer/6895791557.html,"
compensation: Competitive annual salary with full benefits

employment type: full-time

","

QR Code Link to This Post


APPLY HERE: https://jobs.lever.co/frameworkhomeownership/abcd96c3-3308-4725-9b72-e8856d8e81ac?lever-origin=applied&lever-source%5B%5D=Craigslist

About the Company

Framework is a startup social enterprise built on a simple idea: every homebuyer should have access to unbiased information about the mortgage process and feel knowledgeable about the responsibilities of owning a home, throughout their homeownership journey. We are proudly pro-homeownership and believe it’s a uniquely accessible and powerful way for people to plant and grow seeds of generational wealth. We make it easier for people to do this by providing the tools we believe will lead people into homes that improve their quality of life, giving them the space to grow into their future, and gain value over time. We’re dedicated to helping our customers make decisions with confidence, build wealth in their homes, and protect their investment for generations to come.

As we leverage the power of technology to strengthen communities one homeowner at a time, the individual contributions of our tight-knit team play a vital, daily role in shaping our products and services. Creative thinking, collaboration, and problem solving are at the core of the Framework culture, and we’re seeking team members with drive and creativity to add to the mix.   

About The Team

The Information Systems (IS) team’s mission is to apply information and technology in collaboration with other business units and external stakeholders to improve operating efficiencies and promote innovation across the company. The team plays a key role in leading collaboration with others while creating digital strategies, embracing organizational changes, adopting agile practices, and experimenting with emerging technologies. They do all this while being compliant and secure by enforcing internal policies which are aligned to organizational strategy and vision.

About The Role

The Cloud Engineer will be a member of the Information Systems team and will be responsible to implement and support Continuous Delivery and Continuous Integration on all Software Development projects and initiatives within Framework. This role works in collaboration with the Engineering and Product Development teams. We are looking for a person with adequate domain knowledge and hands-on experience in developing and implementing software projects. This person will be responsible for maintaining and improving the CI/CD pipelines in an agile software development environment. This role reports to the Director of Information Systems and is based in Boston, MA

What You'll Do

-Assist the Engineering team to implement and enhance CI/CD
-Work closely with the Information Systems and Engineering teams to manage and provide help/guidance with CI/CD
- Proactively manage, maintain, and monitor all CI/CD pipelines
- Assist and proactively manage the operation of IS backend systems including MS SQL Server, SSIS, Azure Data Service (Data Factory, Data Lake Storage, Data Warehouse etc.)
- Communicate effectively to various stakeholders with status updates
- Pursue training and professional development opportunities, strive to continuously build knowledge and skills, stay on top of new trends in CI/CD pipelines, software technologies related to cloud-based deployments and share expertise to the team
- Prepare and update documentation related to work done

What You'll Bring

- Experience in Continuous Integration/Continuous Delivery techniques, test-driven development, and automated build and testing procedures
- Passion to engage in continuous learning to ensure knowledge of latest DevOps Techniques, Technologies, and cloud (AWS, Azure) product updates • Passion for coding, problem solving, testing, and maintenance
- Experience in developing customized code, scripts, modules, procedures using languages such as Python, Java, JavaScript, Bash, and other scripting and development languages
- Experience working independently and within a team with diverse internal stakeholder groups
- Ability to work in a fast-paced agile software development environment handling multiple projects, requests, and tasks effectively

Preferred Qualifications/Experience

- BS or equivalent in Computer Science, Engineering, Mathematics or equivalent technical degree •
3-5 years’ experience in full stack development using Java, Web Services, Database and microservice development
- Strong background and experience building and maintaining CI/CD infrastructure automation (Amazon pipeline, Jenkins)
- Amazon Web Services including EC2, ECS, S3, CloudWatch, Lambda
- Experience using configuration management tools such as GitHub
- Experience with Systems Monitoring/Alerting tools (PagerDuty, CloudWatch, DataDog, NewRelic)
- Experience with container orchestration utilizing docker images (Node.js, Spring Boot applications)
- Experience with github, maven, scripting (bash, python etc.), databases (postgreSQL, SQL Server)
- AWS Certifications are definitely a plus for this position 
- Experience with Microsoft SQL Server, SSIS, Power BI and Azure Cloud Service technologies is a plus for this position

Work Environment

This job is in a professional office environment. Routine use of standard office equipment such as computers, phones, photocopiers, and filing cabinets is required. Occasional travel is required, including overnight travel for up to four days at a time.

Physical Demands

This position requires the employee to work in an office environment. It requires the ability to speak and hear in person, over the phone, and in settings where there are groups of people. It requires the ability to travel to a variety of meeting locations including via airplane.

The position description is a guide to the critical duties and essential functions of the job, not an all-inclusive list of responsibilities, qualifications, physical demands and work environment conditions. Position descriptions are reviewed and revised to meet Framework’s changing needs, at the sole discretion of management.    "
4,Quality Assurance (QA) Engineer,Boston,May 23,https://boston.craigslist.org/gbs/sof/d/boston-quality-assurance-qa-engineer/6895749083.html,"
compensation: Competitive annual salary with full benefits

employment type: full-time

","

QR Code Link to This Post


APPLY HERE: https://jobs.lever.co/frameworkhomeownership/9d41b1cf-3b43-4842-9619-0b0740ef5264?lever-origin=applied&lever-source%5B%5D=Craigslist

About the Team

The Engineering team’s mission is to architect and develop innovative mobile and web applications by applying computer science, mathematics, engineering and other disciplines, and collaborating with other business units and external stakeholders. The team plays a vital role in leading collaboration across the company by putting together a tech stack to support platform strategy, which in turn supports various revenue models. They do all this while adopting agile practices and experimenting with emerging technologies for the organization to innovate, as well as remaining compliant and secure and enforcing internal policies which are aligned to organizational strategy and vision.

About the Role

The QA Engineer will develop and launch initiatives that expand our platform and position the company as a leading online resource for our next phase of growth. The person in this role will play a critical role on the Engineering team, creating and implementing QA strategies as well as developing solutions to identified quality problems.

What You'll Do

- Test new Framework platform and software products, and identify deficiencies
- Develop solutions to identified product problems
- Plan, create, and manage the overall Quality Planning strategy
- Provide regular status updates to all assigned sprint tasks in daily stand-up meetings 
- Collaborate and work closely with the product team and scrum master to complete tasks assigned during the sprint planning
- Identify quality assurance process bottleneck and suggest actions for improvement
- Analyze, troubleshoot, and resolve production system issues and defects
- Automate tests with CI/CD pipelines
- Prepare and present reports with key metrics to Management
- Develop escalation procedures and policies for different types of issues
- Understand Framework’s business, customers, and products

What You’ll Bring

- 5 years of experience as a Quality Assurance Engineer
- Experience working with a variety of different testing techniques such as Mobile App / UI / API Testing, Automated Testing, Test Driven Development Strategies and other
- Experience with coding using JAVA, Groovy scripts, HTML5, XML
- Experience with web security technology
- Experience with software QA tools and processes
- Understanding of Agile development methodology (Scrum)
- Demonstrated critical thinking and problem-solving skills
- Great interpersonal and communication skills; a team player
- Excellent analytical, organizational, and decision-making skills
- A sense of ownership and pride in your performance and its impact on the company’s success
- Ability to thrive in an entrepreneurial and nimble environment; bonus, this excites you
- Our vision inspires you!

Specific Knowledge Areas

Ready API (SoapUI) and other test automation tools, JSON, JavaScript/Java/Groovy, ReactJS, AWS, PostgreSQL, HTML5, CSS, CSS3, XML, User Interface (UI), Web Services (REST/SOAP), API 

Work Environment

This job is in a professional office environment. Routine use of standard office equipment such as computers, phones, photocopiers, and filing cabinets is required. Occasional travel is required, including overnight travel for up to four days at a time.

Physical Demands

This position requires the employee to work in an office environment. It requires the ability to speak and hear in person, over the phone, and in settings where there are groups of people. It requires the ability to travel to a variety of meeting locations including via airplane.

About the Company

Framework is a startup social enterprise built on a simple idea: every homebuyer should have access to unbiased information about the mortgage process and feel knowledgeable about the responsibilities of owning a home, throughout their homeownership journey. We are proudly pro-homeownership and believe it’s a uniquely accessible and powerful way for people to plant and grow seeds of generational wealth. We make it easier for people to do this by providing the tools we believe will lead people into homes that improve their quality of life, giving them the space to grow into their future, and gain value over time. We’re dedicated to helping our customers make decisions with confidence, build wealth in their homes, and protect their investment for generations to come.

As we leverage the power of technology to strengthen communities one homeowner at a time, the individual contributions of our tight-knit team play a vital, daily role in shaping our products and services. Creative thinking, collaboration, and problem solving are at the core of the Framework culture, and we’re seeking team members with drive and creativity to add to the mix.   

The position description is a guide to the critical duties and essential functions of the job, not an all-inclusive list of responsibilities, qualifications, physical demands and work environment conditions. Position descriptions are reviewed and revised to meet Framework’s changing needs, at the sole discretion of management.    "
5,Information Security Analyst,Medford,May 23,https://boston.craigslist.org/gbs/sof/d/medford-information-security-analyst/6895717080.html,"
compensation: Commensurate with Experience.

employment type: full-time

","

QR Code Link to This Post


Founded locally in 1969 by Marshall M. Sloane, Century Bank is New England's largest family‐run bank with 27 branches throughout Greater Boston. Today Century Bank is the Bank families and businesses rely on -- a place where you can count on getting personal attention. Whether you need a free checking account, easy online banking or a sophisticated financial solution, you'll find it at Century Bank. For more information, visit www.CenturyBank.com.
Currently, we are searching for enthusiastic individuals to join the Century team!  
Job Overview:"
6,IT AUDIT Manager,Andover,May 23,https://boston.craigslist.org/nwb/sof/d/andover-it-audit-manager/6895466532.html,"
compensation: $90-$110+benefits

employment type: full-time

","

QR Code Link to This Post


We have a tremendous opportunity for a driven, self motivated IT/Controls professional who will complete compliance assessments and identify control deficiencies to ensure compliance with regulations, internal controls, policies and procedures; recommend improvements in internal control structure; identify control deficiencies; conduct independent assessments of third parties; conduct assessments for utility regulations, including SOX, GDPR, Data Privacy, Cybersecurity and other federal and state regulations.

Qualifications and Skills

CISA certification a plus
CRISC certification, CISM a plus
1-3 Years of IS Audit Experience
Understanding of assessing third party service providers and associated risks
Understanding of SSAE 18 ISAE 3402, SOC 1, SOC 2 reports

"
7,Research / Mobile / GPS Developer For Transportation / Travel Startup,N/A,May 23,https://boston.craigslist.org/gbs/sof/d/waltham-research-mobile-gps-developer/6895387139.html,"
compensation: TBD

employment type: contract

telecommuting okay

","

QR Code Link to This Post


Transportation/travel/tourism early startup at pre-funding stage seeks experienced software / systems developer  / programmer to help design specifications for various research projects leading to development of prototype/POC.  Proprietary research gathered over the past several years serves as basis for unique transportation/travel based service piloted in the Boston area and ultimately rolled out to other cities.  

Ideal candidate might have an existing job and could perform pro-bono research / design projects.  We are applying for federal seed funding under the SBIR program.  Upon funding candidate will join as CTO/lead and be paid for the development work required to build the POC/service.  Potential for equity. 

Transportation/travel/location related development experience a plus. 

Specifications/architecture to be defined include: 

1.	Design innovative technologies, software, systems to be used for in vehicle presentation, labor/resource/demand usage/prediction, data storage/backup and other vehicle/trip related information (ie, iPhone/iPad/Android/GUI/app design, GPS, wireless communication, cloud sharing, cyber security, e-commerce, vehicle systems, BI, etc.) 

2.	Design / customize automated GPS systems to for navigation use for drivers, automate/innovate use of technologies such as GPS (ie, Waze, Google Maps)

3.	Develop big data processing/predictive analytics/AI systems related to generating and forecasting auto usage from potential customers using technologies such as website or apps

4.	Design app based scheduling processes for travel / transportation related business

5.	Define feasibility of various proposed routes as well as logistics (ie, GPS route planning, time of day/day of month travel issues, anticipated traffic congestion, demand forecasting, health/safety factors, coordination with city closures – holidays, construction, accidents, etc.)

6.	Understand appropriate technologies and issues relating to web and mobile based content management systems, communication systems for data exchange/updates, and data security issues relating to updating customer tracking and in-car activities 

7.	Understand how to scale various service offerings as business scales (hiring needs, website/app traffic increases, incorporation of new technologies or features, partnering with larger travel companies, health/safety issues, etc.) 

8.	Understand how to apply technology developments / lessons learned from a pilot city can apply to new cities

9.	Design new systems for underserved communities including special apps, podcasting, or 
special technology services (ie, blind, deaf, disabled, elderly)

10.	Define new technology based in car advertising systems that can be implemented by sponsor companies (ie, dynamic in car display and/or on website ad systems)

Please forward your CV, examples of prior work and a thoughtful cover letter with your interest. Thank you.    "
8,Senior Fullstack Engineer,N/A,May 22,https://boston.craigslist.org/gbs/sof/d/boston-senior-fullstack-engineer/6895134115.html,"
compensation: DOE

employment type: full-time

","

QR Code Link to This Post


Our client in Boston, MA is looking for an experienced Senior Fullstack Engineer to join their team. In this role, you will design and develop products and services used by millions of people every day. You will also act as a leader within the team and be involved in large, customer facing projects, architecture, product roadmaps and mentoring of other team members. 

Requirements:
- 5+ years of experience in software development
- Customer focused mentality
- Proven proficiency with Javascript
- Experience working on large scale projects

Relocation and visa sponsorship provided if necessary. 

Please upload a copy of your resume detailing relevant work experience for consideration!    "
9,Senior Front End Engineer,N/A,May 22,https://boston.craigslist.org/gbs/sof/d/boston-senior-front-end-engineer/6895106101.html,"
compensation: DOE

employment type: full-time

","

QR Code Link to This Post


Our client in Boston, the largest home goods website, is looking to add a Senior Front End Software Engineer to their rapidly growing team. Their engineering goal is to make sure each customer has an enjoyable shopping experience.  As a Senior Software Engineer you will be help lead and drive projects, write code that is seen by millions of customers daily, and help make decisions that influence how customers shop online. 

Qualifications:
- 5+ years of Javascript development experience
- Javascript experience
- HTML/CSS experience a plus
- React experience a plus
- Bachelor of Science in Computer Science or related STEM Field (Applied Math, Computer Engineering, etc.)

This is a full-time, direct-hire position with competitive compensation packages. Relocation assistance and visa sponsorship is provided if needed. 

Please provide an updated resume detailing your relevant work and educational experience.
"
10,Data Science Fellowship,N/A,May 21,https://boston.craigslist.org/gbs/sof/d/boston-data-science-fellowship/6894411295.html,"
compensation: 80,000-160,000

employment type: full-time

telecommuting okay

","

QR Code Link to This Post


What is Pathrise
Pathrise (YC W18) invests in undervalued university students or young professionals by coaching them to get a competitive internship or job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.

Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from Google recruiters to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 130 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.

About the Fellowship
The Pathrise Fellowship is a program for students and new grads that helps you land the best job or internship possible in tech.

During the fellowship, you receive 1-on-1 mentorship from experienced industry engineers, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.

Our Mission
We seek to uplift and provide guidance for undervalued students and young professionals in their early career. You can read more about our mission and how it all works on our website: www.pathrise.com.

Qualifications
You are either in university or within 5 years of graduation, and interested in getting the best possible job.
You want to work with an experienced advisor who can give you expert advice whether you need to learn about data structures or UI/UX patterns.
You are eager to start your career with a job or internship at a top tech company or a rapidly growing startup.
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.

Please apply here: https://www.pathrise.com/?utm_source=CLBOSData&utm_campaign=CLBOSData&utm_medium=web "
